path,project_name,github_url
data/awesome/incubator-mxnet,incubator-mxnet,https://github.com/apache/incubator-mxnet
data/awesome/indicators,indicators,https://github.com/p-ranav/indicators
data/awesome/infer,infer,https://github.com/facebook/infer
data/awesome/infinity,infinity,https://github.com/infiniflow/infinity
data/awesome/ini-cpp,ini-cpp,https://github.com/SSARCandy/ini-cpp
data/awesome/inifile-cpp,inifile-cpp,https://github.com/Rookfighter/inifile-cpp
data/awesome/inih,inih,https://github.com/jtilly/inih
data/awesome/iniparser,iniparser,https://github.com/ndevilla/iniparser
data/awesome/inipp,inipp,https://github.com/mcmtroffaes/inipp
data/awesome/inja,inja,https://github.com/pantor/inja
data/awesome/interprocess,interprocess,https://github.com/boostorg/interprocess
data/awesome/ion,ion,https://github.com/google/ion
data/awesome/itlib,itlib,https://github.com/iboB/itlib
data/awesome/jansson,jansson,https://github.com/akheron/jansson
data/awesome/jbson,jbson,https://github.com/chrismanning/jbson
data/awesome/jeayeson,jeayeson,https://github.com/jeaye/jeayeson
data/awesome/jemalloc,jemalloc,https://github.com/jemalloc/jemalloc
data/awesome/Jinja2Cpp,Jinja2Cpp,https://github.com/jinja2cpp/Jinja2Cpp
data/awesome/jngl,jngl,https://github.com/jhasse/jngl
data/awesome/JoltPhysics,JoltPhysics,https://github.com/jrouwe/JoltPhysics
data/awesome/jsmn,jsmn,https://github.com/zserge/jsmn
data/awesome/json,json,https://github.com/taocpp/json
data/awesome/json11,json11,https://github.com/dropbox/json11
data/awesome/json-c,json-c,https://github.com/json-c/json-c
data/awesome/jsoncons,jsoncons,https://github.com/danielaparker/jsoncons
data/awesome/jsoncpp,jsoncpp,https://github.com/open-source-parsers/jsoncpp
data/awesome/Jsonifier,Jsonifier,https://github.com/RealTimeChris/Jsonifier
data/awesome/json-parser,json-parser,https://github.com/udp/json-parser
data/awesome/json_struct,json_struct,https://github.com/jorgen/json_struct
data/awesome/json-voorhees,json-voorhees,https://github.com/tgockel/json-voorhees
data/awesome/jsonxx,jsonxx,https://github.com/hjiang/jsonxx
data/awesome/JUCE,JUCE,https://github.com/julianstorer/JUCE
data/awesome/junction,junction,https://github.com/preshing/junction
